species,name,atoms,cas_no,charge
H,Hydrogen atom,1,12385136,0.0
D,Deuterium atom,1,16873179,0.0
He,Helium atom,1,7440597,0.0
Li,Lithium atom,1,7439932,0.0
Be,Beryllium atom,1,7440417,0.0
B,Boron atom,1,7440428,0.0
C,Carbon atom,1,7440440,0.0
N,Nitrogen atom,1,17778880,0.0
O,Oxygen atom,1,17778802,0.0
F,Fluorine atom,1,14762948,0.0
Ne,Neon atom,1,7440019,0.0
Na,Sodium atom,1,7440235,0.0
Mg,Magnesium atom,1,7439954,0.0
Al,Aluminum atom,1,7429905,0.0
Si,Silicon atom,1,7440213,0.0
P,Phosphorus atom,1,7723140,0.0
S,Sulfur atom,1,7704349,0.0
Cl,Chlorine atom,1,22537151,0.0
Ar,Argon atom,1,7440371,0.0
K,Potassium atom,1,7440097,0.0
Ca,Calcium atom,1,7440702,0.0
Sc,Scandium atom,1,7440202,0.0
Ti,Titanium atom,1,7440326,0.0
V,Vanadium atom,1,7440622,0.0
Cr,Chromium atom,1,7440473,0.0
Mn,Manganese atom,1,7439965,0.0
Fe,Iron atom,1,7439896,0.0
Co,Cobalt atom,1,7440484,0.0
Ni,Nickel atom,1,7440020,0.0
Cu,Copper atom,1,7440508,0.0
Zn,Zinc atom,1,7440666,0.0
Ga,Gallium atom,1,7440553,0.0
Ge,Germanium atom,1,7440564,0.0
As,Arsenic atomic,1,7440382,0.0
Se,Selenium atom,1,7782492,0.0
Br,Bromine atom,1,10097322,0.0
Kr,Krypton atom,1,7439909,0.0
Sn,Tin atom,1,7440315,0.0
Sb,Antimony atom,1,7440360,0.0
Te,Tellurium atom,1,13494809,0.0
I,Iodine atom,1,14362448,0.0
Xe,Xenon atom,1,7440633,0.0
D2,Deuterium diatomic,2,7782390,0.0
H2,Hydrogen diatomic,2,1333740,0.0
HD,Deuterium hydride,2,13983205,0.0
HeH,Helium hydride,2,9000219,0.0
LiH,Lithium Hydride,2,7580678,0.0
Li2,Lithium diatomic,2,14452596,0.0
BeH,beryllium monohydride,2,13597972,0.0
Be2,Beryllium diatomic,2,14452609,0.0
LiBe,Lithium Beryllium,2,9000365,0.0
BH,Boron monohydride,2,13766262,0.0
B2,Boron diatomic,2,14452610,0.0
LiB,Lithium boride,2,12523567,0.0
BeB,Beryllium monoboride,2,57679637,0.0
CH,Methylidyne,2,3315375,0.0
LiC,Lithium Carbide,2,57788939,0.0
BeC,Beryllium Carbide,2,57788940,0.0
C2,Carbon diatomic,2,12070154,0.0
BC,boron monocarbide,2,12011540,0.0
NH,Imidogen,2,13774920,0.0
BN,boron nitride,2,10043115,0.0
LiN,Lithium Nitride,2,32746319,0.0
BeN,Beryllium mononitride,2,37279111,0.0
N2,Nitrogen diatomic,2,7727379,0.0
CN,Cyano radical,2,2074875,0.0
OH,Hydroxyl radical,2,3352576,0.0
DO,Hydroxyl-d,2,13587547,0.0
BO,boron monoxide,2,12505770,0.0
NO,Nitric oxide,2,10102439,0.0
LiO,lithium oxide,2,12142777,0.0
O2,Oxygen diatomic,2,7782447,0.0
CO,Carbon monoxide,2,630080,0.0
BeO,beryllium oxide,2,1304569,0.0
HF,Hydrogen fluoride,2,7664393,0.0
DF,Hydrofluoric acid-d,2,14333267,0.0
NF,nitrogen fluoride,2,13967061,0.0
BF,Boron monofluoride,2,13768600,0.0
BeF,Beryllium monofluoride,2,13597961,0.0
FO,Oxygen monofluoride,2,12061700,0.0
LiF,lithium fluoride,2,7789244,0.0
F2,Fluorine diatomic,2,7782414,0.0
CF,Fluoromethylidyne,2,3889756,0.0
NeH,neon hydrogen,2,12200656,0.0
Ne2,Neon diatomic,2,12185056,0.0
NaH,sodium hydride,2,7646697,0.0
NaF,sodium fluoride,2,7681494,0.0
NaBe,Sodium Beryllium,2,9000368,0.0
NaLi,lithium sodium,2,12333492,0.0
NaO,sodium monoxide,2,12401864,0.0
Na2,Sodium diatomic,2,25681792,0.0
MgH,magnesium monohydride,2,14332537,0.0
NaMg,Sodium Magnesium,2,9000370,0.0
LiMg,Lithium magnesium,2,9000367,0.0
Mg2,Magnesium diatomic,2,29904798,0.0
MgF,Magnesium monofluoride,2,14953287,0.0
MgN,Magnesium Nitride,2,60195155,0.0
BeMg,Beryllium Magnesium,2,81099061,0.0
MgO,magnesium oxide,2,1309484,0.0
AlH,aluminum monohydride,2,13967221,0.0
AlO,Aluminum monoxide,2,14457648,0.0
BAl,Boron Aluminum,2,12250429,0.0
AlF,Aluminum monofluoride,2,13595829,0.0
LiAl,Lithium Aluminum,2,12042374,0.0
AlN,Aluminum nitride,2,24304005,0.0
NaAl,Sodium aluminum,2,39422247,0.0
AlC,Aluminum carbide,2,37265944,0.0
Al2,Aluminum diatomic,2,32752946,0.0
SiH,Silylidyne,2,13774942,0.0
BSi,Boron silicide,2,12589025,0.0
Si2,Silicon diatomic,2,12597352,0.0
SiN,Silicon nitride,2,12033602,0.0
SiO,Silicon monoxide,2,10097286,0.0
SiF,silicon monofluoride,2,11128248,0.0
SiC,silicon monocarbide,2,409212,0.0
PH,phosphorus monohydride,2,13967141,0.0
PO,Phosphorus monoxide,2,14452665,0.0
LiP,Lithium monophosphide,2,12259482,0.0
CP,Carbon monophosphide,2,12326851,0.0
P2,Phosphorus diatomic,2,12185090,0.0
SiP,Silicon monophosphide,2,12137643,0.0
AlP,Aluminum monophosphide,2,20859738,0.0
PF,phosphorus monofluoride,2,16027922,0.0
BP,Boron monophosphide,2,20205918,0.0
PN,Phosphorus mononitride,2,17739478,0.0
HS,Mercapto radical,2,13940211,0.0
DS,Mercapto-d,2,13780239,0.0
SO,Sulfur monoxide,2,13827322,0.0
PS,phosphorus sulfide,2,12281366,0.0
AlS,Aluminum sulfide,2,12251900,0.0
BS,boron sulfide,2,12228396,0.0
LiS,Lithium monosulfide,2,12401740,0.0
SiS,silicon monosulfide,2,12504415,0.0
BeS,beryllium sulfide,2,13598226,0.0
NS,Mononitrogen monosulfide,2,12033566,0.0
MgS,magnesium sulfide,2,12032369,0.0
SF,Monosulfur monofluoride,2,16068965,0.0
S2,Sulfur diatomic,2,23550450,0.0
NaS,Sodium sulfide,2,115694774,0.0
CS,carbon monosulfide,2,2944050,0.0
DCl,Hydrochloric acid-d,2,7698057,0.0
HCl,Hydrogen chloride,2,7647010,0.0
NaCl,Sodium Chloride,2,7647145,0.0
Cl2,Chlorine diatomic,2,7782505,0.0
LiCl,lithium chloride,2,7447418,0.0
CCl,carbon monochloride,2,3889767,0.0
MgCl,magnesium monochloride,2,14989298,0.0
ClO,Monochlorine monoxide,2,14989301,0.0
SCl,sulfur monochloride,2,14989323,0.0
PCl,phosphorus chloride,2,17167554,0.0
BCl,boron monochloride,2,20583555,0.0
ClF,Chlorine monofluoride,2,7790898,0.0
AlCl,Aluminum monochloride,2,13595818,0.0
NCl,nitrogen monochloride,2,12190759,0.0
BeCl,beryllium monochloride,2,13814501,0.0
SiCl,Clorosilylidyne,2,13966579,0.0
Ar2,Argon diatomic,2,12595594,0.0
KH,Potassium hydride,2,7693267,0.0
KCl,Potassium Chloride,2,7447407,0.0
KO,Potassium monoxide,2,12401706,0.0
KF,Potassium Fluoride,2,7789233,0.0
LiK,Lithium Potassium,2,12030830,0.0
NaK,Sodium Potassium,2,12056290,0.0
K2,Potassium diatomic,2,25681805,0.0
CaH,Calcium monohydride,2,14452756,0.0
CaF,Calcium monofluoride,2,13827264,0.0
Ca2,Calcium diatomic,2,12595856,0.0
CaS,Calcium sulfide,2,20548543,0.0
CaCl,calcium monochloride,2,15606710,0.0
CaC,Calcium monocarbide,2,65380769,0.0
CaO,Calcium monoxide,2,1305788,0.0
ScH,Scandium monohydride,2,33486021,0.0
ScF,Scandium monofluoride,2,14017335,0.0
ScO,Scandium monoxide,2,12059915,0.0
TiH,Titanium monohydride,2,13776993,0.0
TiO,Titanium monoxide,2,12137201,0.0
TiN,Titanium mononitride,2,25583204,0.0
TiCl,Titanium Monochloride,2,20190061,0.0
VO,Vanadium monoxide,2,12035982,0.0
CrH,Chromium hydride,2,13966795,0.0
CuH,Copper monohydride,2,13517005,0.0
CuF,Copper monofluoride,2,13478416,0.0
Cu2,Copper diatomic,2,12190704,0.0
CuO,Copper Monoxide,2,1317380,0.0
CuCl,Copper monochloride,2,7758896,0.0
ZnH,Zinc monohydride,2,13981878,0.0
ZnF,Zinc monofluoride,2,9000139,0.0
ZnCl,Zinc monochloride,2,9000151,0.0
ZnO,zinc monoxide,2,1314132,0.0
ZnS,Zinc sulfide,2,1314983,0.0
GaH,Gallium monohydride,2,13572924,0.0
GaF,Gallium monofluoride,2,13966784,0.0
GaP,Gallium monophosphide,2,12063988,0.0
GaO,Gallium monoxide,2,12024087,0.0
GaS,Gallium monosulfide,2,12024101,0.0
GaCl,Gallium monochloride,2,17108859,0.0
GaN,Gallium mononitride,2,25617974,0.0
AlGa,Aluminum Gallium,2,39399558,0.0
Ga2,Gallium diatomic,2,74508240,0.0
BGa,Boron Gallium,2,1408277064,0.0
GeH,germylidene,2,13572991,0.0
Ge2,Germanium diatomic,2,12596053,0.0
GeC,Germanium monocarbide,2,12334268,0.0
GeS,Germanium monosulfide,2,12025320,0.0
GeCl,Germanium monochloride,2,9000388,0.0
SiGe,Silicon Germanium,2,145998023,0.0
GeO,Germanium monoxide,2,20619163,0.0
GeF,Germanium monofluoride,2,14929465,0.0
AsH,Arsenic monohydride,2,12628089,0.0
AsP,Arsenic monophosphide,2,12255333,0.0
AsS,Arsenic monosulfide,2,12044790,0.0
AsO,Arsenic monoxide,2,12005991,0.0
AsF,Arsenic monofluoride,2,15120135,0.0
AsCl,Arsenic monochloride,2,17522780,0.0
As2,Arsenic diatomic,2,23878468,0.0
AsN,Arsenic mononitride,2,26754983,0.0
GaAs,Gallium arsenide,2,1303000,0.0
HSe,Selenium monohydride,2,13940222,0.0
SiSe,Silicon Monoselenide,2,12211006,0.0
SeO,Selenium monoxide,2,12640890,0.0
PSe,Phosphorus monoselenide,2,12509410,0.0
AsSe,Arsenic monoselenide,2,12006052,0.0
GeSe,Germanium monoselenide,2,12065100,0.0
NSe,Nitrogen monoselenide,2,12033599,0.0
Se2,Selenium diatomic,2,12185170,0.0
SeCl,Selenium monochloride,2,21259369,0.0
CSe,Carbon monoselenide,2,16674183,0.0
SeF,Selenium monofluoride,2,16846712,0.0
LiSe,Lithium monoselenide,2,64171419,0.0
SeS,Selenium monosulfide,2,7446346,0.0
HBr,hydrogen bromide,2,10035106,0.0
CaBr,Calcium monobromide,2,10024438,0.0
SeBr,Selenium monobromide,2,12598708,0.0
NBr,nitrogen monobromide,2,13967298,0.0
BrCl,Bromine monochloride,2,13863417,0.0
BrF,Bromine monofluoride,2,13863597,0.0
PBr,Phosphorus monobromide,2,59727161,0.0
SBr,Sulfur monobromide radical,2,74140673,0.0
BBr,Boron monobromide,2,19961296,0.0
SiBr,Silicon monobromide,2,14791572,0.0
BrO,Bromine monoxide,2,15656196,0.0
AlBr,Aluminum monobromide,2,22359973,0.0
GaBr,Gallium monobromide,2,22655590,0.0
LiBr,Lithium Bromide,2,7550358,0.0
KBr,Potassium Bromide,2,7758023,0.0
Br2,Bromine diatomic,2,7726956,0.0
NaBr,Sodium Bromide,2,7647156,0.0
CBr,Carbon monobromide,2,3889778,0.0
SbH,Antimony monohydride,2,13940357,0.0
SbN,Antimony nitride,2,12333572,0.0
SbF,Antimony monofluoride,2,25285727,0.0
SbCl,Antimony monochloride,2,19952126,0.0
TeH,Telluryl radical,2,13940368,0.0
TeO,Tellurium monoxide,2,13451177,0.0
Te2,Tellurium diatomic,2,10028167,0.0
HI,Hydrogen iodide,2,10034852,0.0
LiI,Lithium Iodide,2,10377512,0.0
IBr,Iodine monobromide,2,7789335,0.0
ICl,Iodine monochloride,2,7790990,0.0
IF,Iodine monofluoride,2,13873842,0.0
IO,Iodine monoxide,2,14696981,0.0
AlI,Aluminum monoiodide,2,29977411,0.0
KI,Potassium Iodide,2,7681110,0.0
NaI,Sodium Iodide,2,7681825,0.0
I2,Iodine diatomic,2,7553562,0.0
Li3,Lithium trimer,3,12596473,0.0
BeH2,beryllium dihydride,3,7787522,0.0
BH2,boron dihydride,3,14452643,0.0
CH2,Methylene,3,2465567,0.0
C2H,Ethynyl radical,3,2122487,0.0
C3,carbon trimer,3,12075353,0.0
NH2,Amino radical,3,13770406,0.0
ND2,Amidogen-d2,3,15117847,0.0
NNH,Dinitrogen monohydride,3,36882130,0.0
HNB,hydrogen nitrogen boron,3,40493810,0.0
HNC,hydrogen isocyanide,3,6914074,0.0
HCN,Hydrogen cyanide,3,74908,0.0
CNN,Diazocarbene,3,2468817,0.0
LiCN,lithium cyanide,3,2408368,0.0
NCN,Cyanoimidogen,3,1884646,0.0
CN2,3H-Diazirin-3-ylidene,3,253308702,0.0
N3,azide radical,3,12596600,0.0
D2O,Deuterium oxide,3,7789200,0.0
HDO,Water-d1,3,14940637,0.0
H2O,Water,3,7732185,0.0
HO2,Hydroperoxy radical,3,3170830,0.0
LiOH,lithium hydroxide,3,1310663,0.0
HCO,Formyl radical,3,2597446,0.0
HBO,Boron hydride oxide,3,20611590,0.0
NOH,Hydroxyimidogen,3,35337598,0.0
BeOH,beryllium monohydroxide,3,20768687,0.0
COH,Hydroxymethylidyne,3,71080927,0.0
HNO,Nitrosyl hydride,3,14332286,0.0
BO2,Boron dioxide,3,13840885,0.0
LiO2,Lithium dioxide,3,12136560,0.0
CCO,Dicarbon monoxide,3,12071237,0.0
Li2O,dilithium oxide,3,12057248,0.0
NO2,Nitrogen dioxide,3,10102440,0.0
N2O,Nitrous oxide,3,10024972,0.0
O3,Ozone,3,10028156,0.0
LiO2,Lithium dioxide,3,120472248,0.0
NCO,isocyanato radical,3,22400266,0.0
CO2,Carbon dioxide,3,124389,0.0
HCF,Fluoromethylene,3,13453526,0.0
HOF,Hypofluorous acid,3,14034798,0.0
FHF,Hydrogen difluoride,3,18130740,0.0
FOO,Dioxygen monofluoride radical,3,15499237,0.0
FBO,Boron monofluoride monoxide,3,23361560,0.0
CNF,iso cyanogen fluoride,3,866495150,0.0
FNO,Nitrosyl fluoride,3,7789255,0.0
BeF2,Beryllium fluoride,3,7787497,0.0
F2O,Difluorine monoxide,3,7783417,0.0
BF2,Boron difluoride radical,3,13842552,0.0
CF2,Difluoromethylene,3,2154598,0.0
FCN,Cyanogen fluoride,3,1495507,0.0
FCO,Carbonyl fluoride,3,1871245,0.0
NF2,Difluoroamino radical,3,3744078,0.0
NaOH,sodium hydroxide,3,1310732,0.0
Na2O,disodium monoxide,3,1313593,0.0
NaCN,Sodium Cyanide,3,143339,0.0
NaO2,Sodium superoxide,3,12034127,0.0
MgH2,magnesium dihydride,3,7693278,0.0
MgOH,magnesium hydroxide,3,12141116,0.0
MgF2,Magnesium fluoride,3,7783406,0.0
AlH2,aluminum dihydride,3,14457659,0.0
AlNC,Aluminum isocyanide,3,61192709,0.0
AlCN,Aluminum monocyanide,3,19401015,0.0
SiH2,silicon dihydride,3,13825906,0.0
HSiF,fluorosilylene,3,50561303,0.0
SiC2,Silicon dicarbide,3,12071271,0.0
SiO2,silicon dioxide,3,7631869,0.0
SiF2,Silicon difluoride,3,1396660,0.0
PH2,Phosphino radical,3,13765430,0.0
HPO,Hydrogen phosphorus oxide,3,13817066,0.0
HCP,Phosphaethyne,3,6829523,0.0
PF2,Phosphorus difluoride,3,13873524,0.0
PO2,Phosphorus dioxide,3,12164975,0.0
PPO,Phosphorus oxide phosphide,3,114584268,0.0
H2S,Hydrogen sulfide,3,7783064,0.0
D2S,Hydrogen sulfide-d2,3,13536942,0.0
HBS,hydrogen boron sulfide,3,14457853,0.0
HNS,Sulfur imide,3,9000242,0.0
SOH,Sulfur Hydroxide,3,62803127,0.0
HCS,Thioformyl radical,3,36058283,0.0
HS2,Thiosulfeno radical,3,14541243,0.0
SCN,thiocyanato radical,3,15941772,0.0
FSN,Thiazyl fluoride,3,18820638,0.0
NNS,Nitrogen sulfide,3,56400023,0.0
SSO,Disulfur monoxide,3,20901217,0.0
SNO,Nitrogen oxide sulfide,3,56971198,0.0
NSO,sulfinyl amidogen,3,166412619,0.0
Li2S,dilithium sulfide,3,12136582,0.0
SF2,sulfur difluoride,3,13814250,0.0
SiS2,Silicon disulfide,3,13759109,0.0
FNS,Thionitrosyl fluoride,3,13537387,0.0
S3,Sulfur trimer,3,12597034,0.0
SO2,Sulfur dioxide,3,7446095,0.0
Na2S,Sodium sulfide,3,1313822,0.0
OCS,Carbonyl sulfide,3,463581,0.0
CS2,Carbon disulfide,3,75150,0.0
DOCl,Hypochlorous acid-d,3,13770224,0.0
HSiCl,Chlorosilylene,3,13931970,0.0
HOCl,hypochlorous acid,3,7790923,0.0
HCCl,Chloromethylene,3,2108205,0.0
ClCO,carbonyl monochloride,3,2602428,0.0
CCl2,dichloromethylene,3,1605727,0.0
CFCl,chlorofluoromethylene,3,1691889,0.0
ClNO,Nitrosyl chloride,3,2696926,0.0
ClCN,chlorocyanogen,3,506774,0.0
BeCl2,Beryllium chloride,3,7787475,0.0
MgCl2,Magnesium dichloride,3,7786303,0.0
Cl2O,Dichlorine monoxide,3,7791211,0.0
SCl2,Sulfur dichloride,3,10545990,0.0
OClO,Chlorine dioxide,3,10049044,0.0
SiCl2,Dichlorosilylene,3,13569329,0.0
SFCl,Sulfur chloride fluoride,3,64422260,0.0
ClSO,Sulfur chloride oxide,3,53169269,0.0
ClOF,Chlorine hypofluorite,3,34240863,0.0
ClS2,Sulfur chloride,3,39594917,0.0
FClO,chlorosyl fluoride,3,22363684,0.0
OPCl,Phosphorus oxychloride,3,21295501,0.0
ClOO,chloroperoxy radical,3,17376099,0.0
H2Ar,H2 Ar dimer,3,13939156,0.0
KOH,Potassium hydroxide,3,1310583,0.0
KCN,Potassium cyanide,3,151508,0.0
CaH2,Calcium Hydride,3,7789788,0.0
CaOH,Calcium monohydroxide,3,12177672,0.0
CaCl2,Calcium Chloride,3,10043524,0.0
CaF2,Calcium difluoride,3,7789755,0.0
TiO2,Titanium dioxide,3,13463677,0.0
CuF2,Copper difluoride,3,7789197,0.0
CuCN,Copper cyanide,3,544923,0.0
ZnH2,Zinc hydride,3,14018827,0.0
ZnF2,Zinc difluoride,3,7783495,0.0
ZnCN,Zinc monocyanide,3,73963981,0.0
ZnNC,Zinc isocyanide,3,748101419,0.0
ZnCl2,Zinc dichloride,3,7646857,0.0
GeH2,germylene,3,24968556,0.0
GeCl2,Germanium dichloride,3,10060114,0.0
GeS2,Germanium disulfide,3,12025342,0.0
GeF2,Germanium difluoride,3,13940631,0.0
GeO2,Germanium dioxide,3,1310538,0.0
AsH2,Arsenic dihydride,3,14644452,0.0
AsO2,Aresenic dioxide,3,12255128,0.0
H2Se,Hydrogen selenide,3,7783075,0.0
SeCl2,Selenium Dichloride,3,14457706,0.0
SeF2,Selenium difluoride,3,70421431,0.0
OCSe,Carbonyl selenide,3,1603845,0.0
SeO2,Selenium dioxide,3,7446084,0.0
SCSe,Carbon sulfide selenide,3,5951199,0.0
CSe2,Carbon diselenide,3,506809,0.0
CHBr,bromomethylene,3,17141285,0.0
HOBr,Hypobromous acid,3,13517118,0.0
HSiBr,monobromosilylene,3,13569454,0.0
BrNO,Nitrosyl bromide,3,13444876,0.0
SBr2,Sulfur dibromide,3,14312200,0.0
CaBr2,Calcium dibromide,3,7789415,0.0
BeBr2,Beryllium bromide,3,7787464,0.0
